# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,2.0,0.0,0,1.0,0,180.0,0.0,0.0
 0.020089045865735646,2.000201784881898,2.0,0.0,0.020089045865735643,0.9999999999999998,0,180.0,0.0,0.0
 0.030839446313451542,2.00047553572446,2.0,0.0,0.030839446313451542,1.0000000000000002,0,180.0,0.0,0.0
 0.04051305602524001,2.000820653854252,2.0,0.0,0.04051305602524001,1.0,0,180.0,0.0,0.0
 0.0497300834071436,2.0012365405978407,2.0,0.0,0.0497300834071436,1.0,0,180.0,0.0,0.0
 0.05869577977657764,2.0017225972817903,2.0,0.0,0.05869577977657764,1.0,0,180.0,0.0,0.0
 0.06750148491208285,2.002278225232668,2.0,0.0,0.06750148491208284,0.9999999999999984,0,180.0,0.0,0.0
 0.07619482629468338,2.0029028257770385,2.0,0.0,0.07619482629468337,1.0,0,180.0,0.0,3.3015950312670054e-12
 0.08480330466990586,2.0035958002414684,2.0,0.0,0.08480330466990585,1.0,0,180.00000000000003,0.0,-3.3278031430468375e-12
 0.09334398697853002,2.004356549952524,2.0,0.0,0.09334398697853001,1.0,0,180.0,0.0,0.0
 0.10182805347024396,2.0051844762367694,2.0,0.0,0.10182805347024394,1.0,0,180.0,0.0,0.0
 0.11026314362262403,2.0060789804207717,2.0,0.0,0.11026314362262402,1.0,0,180.0,0.0,0.0
 0.118654657144988,2.0070394638310973,2.0,0.0,0.11865465714498799,1.0,0,180.0,0.0,0.0
 0.1270065178981782,2.00806532779431,2.0,0.0,0.12700651789817818,0.9999999999999983,0,180.0,0.0,3.418073262100899e-12
 0.13532164377495207,2.0091559736369775,2.0,0.0,0.13532164377495204,1.0,0,180.00000000000003,0.0,-3.432323506485581e-12
 0.14360224709707467,2.0103108026856646,2.0,0.0,0.14360224709707464,1.0,0,180.0,0.0,0.0
 0.15185003303876884,2.0115292162669376,2.0,0.0,0.1518500330387688,0.9999999999999967,0,180.0,0.0,0.0
 0.1600663344202145,2.012810615707362,2.0,0.0,0.16006633442021445,1.0,0,180.0,0.0,0.0
 0.1682522055338583,2.014154402333504,2.0,0.0,0.16825220553385825,1.0,0,180.0,0.0,-3.4846397892589393e-12
 0.1764084888656423,2.0155599774719297,2.0,0.0,0.17640848886564225,1.0,0,179.99999999999997,0.0,3.497034515053817e-12
 0.18453586344775066,2.0170267424492034,2.0,0.0,0.1845358634477506,1.0,0,180.0,0.0,0.0
 0.19263488049619878,2.0185540985918924,2.0,0.0,0.19263488049619873,1.0,0,180.0,0.0,0.0
 0.20070599007783377,2.0201414472265617,2.0,0.0,0.2007059900778337,1.0,0,180.0,0.0,0.0
 0.20874956133979103,2.0217881896797776,2.0,0.0,0.20874956133979095,0.9999999999999966,0,180.0,0.0,3.545473508381047e-12
 0.21676589804720647,2.023493727278106,2.0,0.0,0.2167658980472064,1.0,0,180.00000000000003,0.0,-3.557448373069486e-12
 0.22475525065329385,2.0252574613481125,2.0,0.0,0.22475525065329377,1.0,0,180.0,0.0,-3.5694117796678776e-12
 0.23271782577345793,2.0270787932163628,2.0,0.0,0.23271782577345784,1.0,0,179.99999999999997,0.0,0.0
 0.24065379369302647,2.028957124209423,2.0,0.0,0.24065379369302642,1.0000000000000036,0,179.99999999999997,0.0,7.186726594683584e-12
 0.24856329436929517,2.0308918556538584,2.0,0.0,0.2485632943692951,1.0,0,180.00000000000003,0.0,-3.605375643296308e-12
 0.2564464422690848,2.0328823888762355,2.0,0.0,0.25644644226908475,1.0,0,180.0,0.0,0.0
 0.264303330297292,2.0349281252031197,2.0,0.0,0.26430333029729197,1.0,0,180.0,0.0,0.0
 0.27213403300975303,2.0370284659610767,2.0,0.0,0.272134033009753,1.0,0,180.0,0.0,0.0
 0.27993860925807446,2.0391828124766724,2.0,0.0,0.27993860925807434,0.9999999999999929,0,180.0,0.0,0.0
 0.28771710438023346,2.041390566076473,2.0,0.0,0.28771710438023335,1.0,0,180.0,0.0,0.0
 0.2954695520253963,2.043651128087044,2.0,0.0,0.29546955202539626,1.000000000000007,0,180.0,0.0,0.0
 0.30319597568223566,2.0459638998349514,2.0,0.0,0.3031959756822356,1.0,0,180.0,0.0,0.0
 0.31089638996540575,2.048328282646761,2.0,0.0,0.3108963899654057,1.0,0,180.0,0.0,0.0
 0.31857080170360386,2.0507436778490384,2.0,0.0,0.3185708017036038,1.0,0,180.0,0.0,0.0
 0.32621921086395106,2.0532094867683495,2.0,0.0,0.32621921086395095,0.9999999999999928,0,180.0,0.0,0.0
 0.3338416113406489,2.0557251107312604,2.0,0.0,0.33384161134064877,1.0,0,180.0,0.0,0.0
 0.34143799163050387,2.058289951064336,2.0,0.0,0.34143799163050376,1.0,0,180.0,0.0,0.0
 0.3490083354137627,2.0609034090941427,2.0,0.0,0.3490083354137626,1.0,0,180.0,0.0,0.0
 0.3565526220552772,2.0635648861472466,2.0,0.0,0.3565526220552771,1.0,0,180.0,0.0,0.0
 0.3640708270384056,2.0662737835502143,2.0,0.0,0.3640708270384055,1.0,0,180.0,0.0,0.0
 0.3715629223418558,2.06902950262961,2.0,0.0,0.3715629223418557,1.0,0,180.0,0.0,0.0
 0.3790288767679837,2.0718314447119996,2.0,0.0,0.3790288767679836,1.0,0,180.0,0.0,0.0
