# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,0.75,0.0,0,1.0,0,180.0,0.0,0.0
 0.02067621251088956,2.0002137528818977,0.75,0.0,0.020676212510889563,1.0000000000000002,0,180.0,0.0,0.0
 0.032350571075649114,2.0005232797244603,0.75,0.0,0.03235057107564912,1.0000000000000002,0,180.0,0.0,0.0
 0.043076440295180506,2.000927789854252,0.75,0.0,0.04307644029518051,1.0,0,180.0,0.0,0.0
 0.053413342861885496,2.0014264925978407,0.75,0.0,0.053413342861885496,0.9999999999999993,0,180.0,0.0,0.0
 0.06353892164319952,2.0020185972817903,0.75,0.0,0.06353892164319952,1.0,0,180.0,0.0,0.0
 0.07352976584578721,2.002703313232668,0.75,0.0,0.0735297658457872,0.9999999999999986,0,180.0,0.0,0.0
 0.08342481377910255,2.003479849777039,0.75,0.0,0.08342481377910253,1.0,0,180.0,0.0,2.8938929599777757e-12
 0.09324608561723656,2.0043474162414685,0.75,0.0,0.09324608561723655,1.0,0,180.00000000000003,0.0,-2.911784908939488e-12
 0.10300700900932722,2.005305221952524,0.75,0.0,0.1030070090093272,1.0,0,180.0,0.0,0.0
 0.11271624760228019,2.0063524762367693,0.75,0.0,0.11271624760228018,1.0,0,180.0,0.0,0.0
 0.12237964226759229,2.007488388420772,0.75,0.0,0.12237964226759228,1.0,0,180.0,0.0,0.0
 0.13200127144158513,2.0087121678310975,0.75,0.0,0.1320012714415851,0.9999999999999986,0,180.0,0.0,0.0
 0.14158406544742225,2.01002302379431,0.75,0.0,0.14158406544742222,1.0,0,180.0,0.0,2.9773065887399635e-12
 0.15113017989122646,2.0114201656369772,0.75,0.0,0.15113017989122643,1.0,0,180.00000000000003,0.0,-2.9882824259487286e-12
 0.1606412318532513,2.012902802685665,0.75,0.0,0.16064123185325127,1.0,0,180.0,0.0,0.0
 0.17011845441890022,2.0144701442669377,0.75,0.0,0.1701184544189002,1.0,0,180.0,0.0,0.0
 0.17956280075428974,2.0161213997073624,0.75,0.0,0.1795628007542897,1.0,0,180.0,0.0,0.0
 0.18897501598626115,2.017855778333504,0.75,0.0,0.18897501598626112,1.0,0,180.0,0.0,-3.0298159371705145e-12
 0.19835568795438951,2.0196724894719296,0.75,0.0,0.1983556879543895,1.0,0,179.99999999999997,0.0,3.0398864342712223e-12
 0.20770528375177916,2.0215707424492035,0.75,0.0,0.20770528375177913,1.0,0,180.0,0.0,0.0
 0.21702417649604092,2.0235497465918924,0.75,0.0,0.2170241764960409,1.0,0,180.0,0.0,0.0
 0.22631266525125002,2.025608711226562,0.75,0.0,0.22631266525125,1.0,0,180.0,0.0,0.0
 0.23557099006362314,2.027746845679778,0.75,0.0,0.23557099006362311,1.0,0,180.0,0.0,3.0798245606440934e-12
 0.24479934345543455,2.029963359278106,0.75,0.0,0.24479934345543453,1.0,0,180.00000000000003,0.0,-3.089807972279127e-12
 0.25399787931442497,2.0322574613481126,0.75,0.0,0.2539978793144249,0.999999999999997,0,180.0,0.0,-3.0998150031071504e-12
 0.26316671984262263,2.0346283612163627,0.75,0.0,0.2631667198426226,1.0,0,179.99999999999997,0.0,0.0
 0.2723059610417035,2.037075268209423,0.75,0.0,0.27230596104170346,1.0,0,179.99999999999997,0.0,6.239867258999958e-12
 0.2814156770823486,2.0395973916538583,0.75,0.0,0.28141567708234855,1.0,0,180.00000000000003,0.0,-3.1300591570664206e-12
 0.2904959238138646,2.0421939408762353,0.75,0.0,0.2904959238138645,1.0,0,180.0,0.0,0.0
 0.29954674160511063,2.0448641252031194,0.75,0.0,0.2995467416051106,1.0,0,180.0,0.0,0.0
 0.3085681576607558,2.0476071539610765,0.75,0.0,0.30856815766075574,1.0,0,180.0,0.0,0.0
 0.3175601879224542,2.050422236476672,0.75,0.0,0.31756018792245416,1.0,0,180.0,0.0,0.0
 0.32652283863911624,2.053308582076473,0.75,0.0,0.3265228386391162,1.0,0,180.0,0.0,0.0
 0.3354561076714646,2.0562654000870446,0.75,0.0,0.33545610767146455,1.0,0,180.0,0.0,0.0
 0.3443599855818078,2.0592918998349514,0.75,0.0,0.34435998558180775,1.0,0,180.0,0.0,0.0
 0.3532344565490776,2.062387290646761,0.75,0.0,0.35323445654907754,1.0,0,180.0,0.0,0.0
 0.3620794991408335,2.0655507818490384,0.75,0.0,0.3620794991408334,1.0,0,180.0,0.0,0.0
 0.37089508696759405,2.0687815827683496,0.75,0.0,0.370895086967594,1.0,0,180.0,0.0,0.0
 0.3796811892397628,2.0720789027312603,0.75,0.0,0.3796811892397628,1.0000000000000062,0,180.0,0.0,0.0
 0.38843777124356954,2.075441951064336,0.75,0.0,0.38843777124356954,1.0,0,180.0,0.0,0.0
 0.39716479474934147,2.0788699370941432,0.75,0.0,0.39716479474934147,1.0,0,180.0,0.0,0.0
 0.4058622183629499,2.0823620701472474,0.75,0.0,0.4058622183629499,1.0,0,180.0,0.0,0.0
 0.4145299978293826,2.085917559550214,0.75,0.0,0.4145299978293826,1.0,0,180.0,0.0,0.0
 0.42316808629576397,2.0895356146296096,0.75,0.0,0.423168086295764,1.0000000000000064,0,180.0,0.0,0.0
 0.4317764345399131,2.093215444712,0.75,0.0,0.43177643453991316,1.0,0,180.0,0.0,0.0
 0.4403549911695116,2.0969562591239503,0.75,0.0,0.44035499116951166,1.0,0,180.0,-1.9048999054354903e-10,0.0
